objname,e_mod0,mod0,v_gsr,mod_mpc
NGC4939,0.132,32.817,3008.6,36.5931672
PGC045190,0.349,33.689,5522.3,54.67641107
NGC4948,0.362,30.01,1233.8,10.0461579
NGC4947,0.378,31.959,2246.1,24.64903946
ESO508-007,0.38,32.16,2847.5,27.03958364
ESO508-011,0.259,32.194,2476.1,27.46628992
ESO575-061,0.362,32.519,1517,31.90068436
NGC4981,0.177,31.653,1588.5,21.40917835
ESO323-085,0.37,30.429,2958.5,12.18428363
ESO269-052,0.38,33.8,3040.1,57.54399373
NGC4980,0.346,31.156,1284.4,17.02942562
PGC045650,0.4,32.21,2456,27.66941645
ESO508-019,0.262,32.99,2826.2,39.62780343
ESO269-057,0.153,33.207,2932.9,43.79252635
ESO576-001,0.12,34.48,2756.3,78.70457897
ESO269-058,0.007,27.87,227.2,3.749730022
NGC5002,0.54,30.42,1111.2,12.1338885
ESO576-003,0.272,32.39,2834.3,30.06076303
NGC5004A,0.347,34.205,7288.8,69.3425806
ESO576-005,0.54,34.12,2633.7,66.68067692
NGC5011A,0.353,32.509,3002.9,31.75411403
UGC08294,0.347,34.485,6132.1,78.88601176
ESO269-068,0.016,27.87,480,3.749730022
ESO269-066,0.015,27.87,614.8,3.749730022
ESO443-083,0.263,31.529,2226.7,20.22087758
UGC08308,0.096,28.13,242,4.226686143
PGC045981,0.032,36.075,7135.6,164.0589773
ESO443-085,0.4,31.42,2251.4,19.23091729
NGC5042,0.275,30.665,1259,13.58313447
NGC5051,0.07,34.51,4277.6,79.79946873
ESO508-034,0.349,31.953,1776.9,24.58102565
IC4216,0.54,32.75,2745,35.48133892
ESO382-031,0.4,31.38,1715.4,18.87991349
ESO576-026,0.352,31.627,1825.2,21.15436532
NGC5068,0.081,28.56,549.7,5.152286446
UGC08365,0.352,31.143,1317.8,16.92777976
ESO382-041,0.303,32.283,1601.1,28.61541179
ESO576-032,0.361,30.394,1497.1,11.9894704
ESO269-085,0.16,31.48,2698.3,19.7696964
ESO382-045,0.4,30.69,1304.5,13.74041975
ESO508-051,0.38,32.66,1998.9,34.04081897
ESO576-040,0.045,32.325,1962.9,29.17427014
NGC5090,0.2,32.88,2782,37.6703799
NGC5104,0.351,34.307,5500.2,72.67750338
NGC5107,0.38,31.42,1003.6,19.23091729
NGC5105,0.289,32.657,2804.6,33.99382231
PGC046663,0.043,27.985,575.4,3.953666201
PGC046680,0.011,27.92,,3.837072455
PGC046710,0.22,34.53,6746,80.53784412
IC4232,0.048,35.44,9352.1,122.4616199
ESO508-067,0.056,35.166,7428.8,107.944371
IC4239,0.076,37.11,14561.8,264.2408757
PGC046885,0.042,28.388,346.1,4.759923797
NGC5145,1.01,33.62,1300.2,52.96634439
ESO508-075,0.05,35.44,9813,122.4616199
NGC5121A,0.4,31.22,1283.1,17.53880502
ESO382-067,0.4,32.93,2325.2,38.54783577
IC4247,0.026,28.566,281.9,5.166542426
ESO444-037,0.262,32.61,1760,33.26595533
ESO324-023,0.4,30.77,1288.1,14.25607594
NGC5152,0.62,34.61,3765.7,83.56030182
IC4263,0.357,33.114,2800.6,41.95657223
NGC5161,0.105,31.627,2245.9,21.15436532
ESO383-005,0.365,33.542,3465.1,51.09754091
PGC047514,0.04,34.15,4121.7,67.60829754
NGC5188,0.362,31.8,2270.9,22.90867653
NGC5206,0.01,27.53,417.7,3.206269325
ESO270-017,0.05,29.21,668.2,6.950243176
NGC5238,0.015,28.269,330.2,4.506091436
ESO444-078,0.021,28.668,440.9,5.41501919
NGC5219,0.352,32.033,2382.1,25.5035126
ESO324-044,0.288,32.499,2384,31.60821713
NGC5254,0.105,32.262,2232.4,28.34001006
UGC08642,0.346,32.602,2514.8,33.1436245
UGC08651,0.023,27.47,275.8,3.118889584
IC4316,0.026,28.191,450.9,4.347103696
UGC08658,0.267,32.657,2127.4,33.99382231
NGC5264,0.036,28.241,349.3,4.448360749
PGC048515,0.057,27.833,,3.686379141
UGC08693,0.352,33.077,2498.6,41.24772498
NGC5301,0.267,31.596,1597.7,20.85451048
UGC08737,0.274,32.862,1923.5,37.35940923
UGC08733,0.262,32.396,2421.9,30.14393884
ESO383-087,0.016,27.521,190.7,3.193007951
NGC5304,0.06,34.01,3649.6,63.38697113
NGC5320,0.347,32.799,2691.7,36.29108896
ESO383-091,0.4,30.74,938.9,14.06047524
PGC049153,0.03,35.695,8562.5,137.7209469
ESO384-002,0.4,30.73,1257.9,13.99587323
ESO445-066,0.028,34.958,7133.7,98.0844136
ESO384-015,0.54,32.85,3417.4,37.15352291
NGC5365A,0.4,32.53,2611.7,32.06269325
ESO384-016,0.021,28.26,373.4,4.487453899
UGC08882,0.2,29.686,464.8,8.65366343
ESO510-026,0.54,31.75,2256.5,22.38721139
IC4351,0.288,32.414,2555.3,30.39484969
ESO445-085,0.354,34.389,4161.8,75.47445749
ESO221-022,0.4,32.67,2757.2,34.19794425
NGC5425,0.346,32.552,2178.7,32.3891835
NGC5443,0.355,32.506,1918.9,31.71027439
NGC5440,0.212,33.667,3761,54.12526055
UGC08988,0.347,32.635,2212.8,33.65115694
ESO384-043,0.54,34.48,4283.7,78.70457897
NGC5468,0.025,33.403,2793.2,47.92918012
UGC09024,0.378,32.057,2354.7,25.7869513
NGC5464,0.4,32.13,2575.4,26.66858665
ESO325-055,0.54,34.05,3896.8,64.5654229
PGC050620,0.424,32.085,4882.4,26.12161354
NGC5494,0.78,33.39,2503.9,47.64309868
IC4386,0.36,31.54,1736.3,20.32357011
PGC050911,0.03,29.74,454.1,8.87156012
IC4390,0.54,31.52,1980.7,20.1372425
PGC051017,0.2,30.7,712.8,13.80384265
UGC09169,0.4,30.96,1278.2,15.55965632
NGC5556,0.4,31.1,1278.2,16.59586907
NGC5577,0.36,31.42,1476.3,19.23091729
IC4402,0.36,31.17,1512.4,17.13957308
PGC051291,0.54,32.68,2701.9,34.35579479
IC4407,0.54,33.37,2678.7,47.20630413
PGC051473,0.087,36.177,11189.6,171.9491368
PGC051523,0.54,30.79,1664.8,14.38798578
NGC5671,0.54,35.21,9137.7,110.153931
PGC051659,0.126,27.792,254.9,3.617428868
UGC09291,0.359,32.922,2980.8,38.40608157
UGC09303,0.346,34.63,4359.4,84.33347578
ESO385-031,0.54,32.84,3000.5,36.98281798
NGC5653,0.4,33.22,3638.9,44.05548635
ESO385-033,0.4,32.12,2937,26.54605562
ESO385-032,0.281,32.847,2722,37.10222886
NGC5645,0.346,30.868,1370.8,14.91420128
UGC09345,0.54,34.1,2305.1,66.0693448
UGC09380,0.4,31.68,1681.9,21.67704105
