Objectname,distance_modulus,v_gsr,distance_mpc
NGC4442,30.898,469.1,15.12167849
NGC4434,31.73,1001.6,22.1819642
NGC4464,30.977,1198.4,15.68194766
NGC4552,30.977,273.4,15.68194766
NGC4365,31.807,1148.3,22.98264453
NGC6702,34.181,4940.7,68.58039781
UGC03539,33.425,3408.6,48.41723676
UGC02370,33.11,2281.8,41.87935651
UGC03489,34.56,5398.2,81.65823714
UGC03474,33.32,3751.7,46.13175746
UGC03879,33.849,4770.6,58.85725453
NGC2357,32.428,2212.6,30.59144559
UGC05459,31.61,1159.9,20.98939884
IC3474,31.38,1648.8,18.87991349
UGC06594,31.651,974.6,21.38946884
UGC07387,32.905,1647.4,38.10658234
UGC06080,32.728,2261.8,35.12367905
UGC09856,32.921,2607.6,38.38839899
NGC7173,32.457,2532.8,31.00273442
NGC2592,32.027,1980,25.43314106
IC4214,32.663,2165.8,34.0878806
NGC2778,31.777,2002,22.66731083
NGC3605,31.557,607.5,20.4833035
IC3044,31.24,-241.2,17.70108958
NGC3156,31.727,1208.7,22.15133984
NGC4312,30.001,103.2,10.00460623
NGC4477,31.08,1308.7,16.44371723
NGC4459,31.001,1137.1,15.85623231
UGC07590,32.259,1054.8,28.30088392
NGC4413,30.891,41.7,15.07301044
NGC4451,32.078,795.3,26.03754299
NGC4343,31.71,923.1,21.97859873
NGC4595,30.984,592.1,15.73258185
NGC4550,30.921,359,15.2826969
NGC4647,31.19,1362,17.29816359
NGC0532,32.699,2456.5,34.6577209
NGC1171,32.009,2856.2,25.22318934
NGC1186,32.816,2852.8,36.5763193
NGC3067,31.15,1422.4,16.98243652
NGC1343,28.14,2369.6,4.246195639
NGC3041,31.926,1307.9,24.27727848
NGC3021,32.603,1507.1,33.15889122
NGC1485,31.39,1234.2,18.96705921
NGC2726,33.771,1616.6,56.78060295
NGC3294,32.393,1561,30.10232221
NGC3338,31.836,1202.6,23.2916363
NGC3437,32.406,1203.6,30.28307694
NGC7606,32.75,2317.4,35.48133892
NGC2623,34.952,5431.3,97.81377043
NGC7678,33.26,3676.7,44.87453899
NGC4845,31.337,1027.1,18.50972643
ESO097-013,28.12,267.1,4.207266284
NGC1003,30.196,745.7,10.94460268
NGC3495,31.307,1008.5,18.25576346
NGC4448,31.887,682.7,23.84514677
NGC3672,31.849,1713.8,23.43149507
NGC4378,33.43,2478.3,48.52885002
NGC5033,30.84,924.4,14.72312502
NGC4876,34.758,6714.6,89.45404838
NGC4883,34.708,8165.2,87.41782564
NGC6951,31.602,1645,20.9122133
NGC4895,34.794,8542.6,90.94943386
NGC4840,35.028,6046.1,101.2977969
NGC4051,30.247,749.1,11.20469399
NGC3227,31.54,1051.1,20.32357011
NGC4594,29.673,967.7,8.602011127
NGC3607,31.767,862.5,22.563164
NGC3626,31.487,1398.4,19.8335292
NGC1042,28.12,1356.1,4.207266284
NGC0524,32.565,2510.4,32.5836701
NGC0474,32.2,2416.1,27.54228703
NGC5898,32.297,2072.6,28.80049817
NGC0855,29.917,697.3,9.62498364
NGC2634,32.597,2380.7,33.06739628
NGC7280,31.66,2048.5,21.47830474
NGC2962,32.708,1822,34.80166322
NGC2699,32.127,1659.8,26.63176807
PGC027509,34.813,6456.7,91.74871703
NGC5350,32.212,2399.6,27.69491267
IC3105,30.75,-215.8,14.12537545
NGC4123,31.516,1231.9,20.10018247
ESO056-115,18.507,90.2,0.050280548
NGC3079,31.09,1221.8,16.51961798
IC2559,32.696,2768.8,34.60987255
NGC2613,32.141,1466.5,26.80402412
NGC3810,30.892,911.2,15.07995342
IC5249,32.596,2268.2,33.05217169
UGC11583,29.135,342.5,6.714288529
UGC11648,32.86,3583.5,37.32501578
NGC1160,31.883,2646.9,23.80126282
NGC0470,33.44,2447.3,48.75284901
NGC3368,29.955,792.3,9.794899854
NGC3705,31.799,926.1,22.89812912
NGC5064,33.185,2834.7,43.35108784
NGC4414,31.107,741.1,16.64945416
PGC071159,32.09,4022.1,26.18183008
UGC12535,32.573,4353.8,32.70393418
UGC03860,30.106,346.3,10.50025872
NGC7631,33.691,3903.6,54.72679311
UGC04426,29.972,395,9.871883011
NGC3738,28.62,295.4,5.296634439
UGC09240,27.251,257.7,2.819681143
ESO305-009,30.747,847.6,14.10587399
ESO422-005,32.82,1312.9,36.64375746
ESO418-008,31.674,1086,21.61722784
ESO502-016,30.92,1317,15.27566058
ESO358-015,31.04,1267.1,16.14358557
ESO443-079,32.12,1983.3,26.54605562
ESO380-025,31.57,2612,20.60629913
PGC003792,24.419,-152.6,0.765244118
IC1727,29.27,457,7.144963261
NGC1084,30.946,1406.2,15.45966219
NGC4621,30.843,389.1,14.74347983
UGC07321,31.838,385,23.31309857
NGC5236,28.45,377.3,4.897788194
UGC00809,34.13,4355.5,66.98846094
UGC00841,33.992,5720.8,62.86370884
NGC0496,33.626,6151.2,53.11289819
NGC0512,34.844,5004,93.06791832
UGC01054,34.27,2806.5,71.44963261
UGC01033,33.85,4178.7,58.88436554
NGC0688,33.883,4283.5,59.78606914
UGC01416,35.397,5605.2,120.0604592
UGC01366,34.402,5247.4,75.92765726
NGC0668,33.752,4638.5,56.28594993
UGC02454,35.015,7643.7,100.6931669
IC0292,32.833,3164.8,36.86379141
UGC02444,35.053,6718.5,102.4707701
UGC02617,33.129,4801.1,42.2474013
UGC04400,34.477,4294.5,78.59591965
UGC04361,33.226,3666.2,44.17738449
UGC04424,34.35,4337.3,74.13102413
UGC03275,35.673,7895,136.3326888
UGC04299,33.787,4219.2,57.20052304
NGC5185,35.26,7366.4,112.7197456
IC4202,35.444,7134.6,122.6874105
UGC11579,34.886,6028.7,94.88553267
UGC12701,35.443,9009.2,122.6309238
UGC12721,35.089,7786.1,104.1837535
UGC11455,34.731,5601.7,88.34866674
PGC011350,34.407,8419.4,76.10268859
PGC090831,36.593,11197.6,208.257188
PGC072968,35.409,8081.2,120.7257744
IC2510,32.463,2583.1,31.0885166
NGC3835,33.556,2534.9,51.42804319
NGC6155,31.956,2582.3,24.61500906
NGC2712,32.455,1829.1,30.97419299
NGC0949,30.197,732.2,10.94964401
NGC2460,32.94,1517.9,38.72576449
NGC7328,33.005,2994.6,39.90249024
NGC4162,32.06,2547.5,25.82260191
NGC0210,31.379,1679.8,18.87122097
NGC4409,30.911,1561,15.21247929
NGC1620,33.06,3443,40.92606597
NGC2815,33.094,2334,41.57191207
NGC3054,32.606,2217.6,33.20473358
NGC4682,31.72,2210.7,22.08004733
NGC5530,30.3,1056.7,11.48153621
NGC3717,31.256,1539.7,17.83199772
NGC6118,31.597,1621.7,20.86411655
NGC6925,32.368,2826.9,29.75774377
NGC7083,32.592,3017.6,32.99134338
NGC7412,29.503,1692.1,7.954263981
NGC7531,31.928,1570.9,24.29964898
NGC4469,31.12,516.9,16.74942876
NGC1596,30.897,1335.4,15.1147163
NGC2788,31.229,1421.3,17.61164813
IC5176,32.121,1645.5,26.55828335
ESO443-042,32.973,2762,39.31877693
PGC002805,31.292,1395.8,18.13009167
PGC006228,31.448,1533.7,19.48049553
NGC0615,32.224,1899.6,27.84838408
IC0217,31.585,1885.1,20.74913517
NGC0958,34.453,5745.6,77.73202828
PGC016118,33.708,4368.3,55.15691913
UGC03326,34.604,4251.5,83.32973486
UGC03757,35.203,5572.4,109.7994084
UGC03283,34.222,4412,69.88757961
NGC2758,32.61,1756.6,33.26595533
UGC03675,33.963,3919.2,62.0297456
UGC03207,34.2,4494.3,69.18309709
UGC03214,34.233,4829,70.24250645
PGC027130,32.395,1911.2,30.13006024
UGC04257,33.877,4103.1,59.62110214
NGC2998,33.846,4782.1,58.77599637
NGC4050,33.13,1610.7,42.26686143
NGC3917,31.148,1030.9,16.96680232
UGC07844,31.9,2004,23.98832919
NGC3987,34.073,4345.9,65.25292741
NGC4428,32.929,2856.4,38.53008792
NGC4129,31.322,1045.8,18.38230637
NGC4781,30.46,1153.6,12.35947433
NGC4995,32.255,1650.9,28.24879975
NGC4642,33.105,2558.8,41.78303666
NGC4658,31.938,2285.6,24.41181106
NGC5088,31.446,1337,19.46256159
NGC5134,28.8,1640.7,5.754399373
NGC5728,32.218,2728.6,27.77154236
NGC5184,33.81,3920.2,57.80960474
IC1048,32.09,1590.3,26.18183008
PGC054944,31.504,2010.3,19.98941111
NGC5861,31.91,1833.5,24.09905429
UGC11527,34.306,5636.7,72.64404186
UGC11651,31.59,1740.4,20.79696687
PGC065506,34.94,6153,97.27472238
IC5334,33.294,2320.6,45.58269515
NGC1309,32.678,2073,34.3241665
NGC1325,31.723,1507.2,22.11057312
PGC013684,32.22,1135.3,27.79713268
NGC1422,30.313,1567.4,11.55047914
NGC1367,31.888,1366.2,23.8561304
NGC1385,30.005,1399.9,10.02305238
ESO548-021,31.765,1600.2,22.54239212
ESO548-032,32.07,1873.9,25.94179362
ESO482-005,32.49,1822,31.47748314
ESO549-018,32.134,1484.9,26.71775727
ESO549-035,32.95,1721.8,38.9045145
NGC4178,31.99,307.5,25.00345362
NGC4055,35.321,7290.8,115.9311116
NGC4180,32.72,2096,34.9945167
NGC4941,31.55,1022.1,20.41737945
NGC5832,29.9,610.9,9.54992586
UGC09858,32.787,2744.1,36.09109012
UGC11909,30.73,1332.3,13.99587323
IC1459,32.307,1798.4,28.93343523
NGC5676,32.663,2225.2,34.0878806
NGC4105,32.097,1696.9,26.26636651
IC3370,32.117,2753.9,26.50940621
NGC3953,30.479,1119.3,12.46809205
NGC3992,32.013,1120.1,25.26969499
NGC5921,30.73,1472.9,13.99587323
NGC5457,29.26,356.2,7.112135137
NGC5371,32.49,2659.1,31.47748314
NGC3359,31.649,1103.9,21.36977748
UGC03974,29.558,180.1,8.158306174
NGC4237,31.461,813.5,19.59746963
NGC4212,31.141,-142.3,16.91219588
NGC5775,31.277,1684.2,18.005285
NGC4435,31.092,750.5,16.53484012
IC3583,29.887,1073.1,9.492923914
NGC3049,31.263,1363.2,17.88957404
NGC3184,30.326,596.7,11.61983604
NGC4725,30.406,1208.6,12.05591008
NGC4236,28.221,122.6,4.407577932
NGC5398,29.65,1094.2,8.511380382
ESO356-004,20.858,-56.2,0.148456768
